,Date,Year,Month,Day,TAVE (C),SNOW (in),PRCP (in)
48,2004-02-18,2004,2,18,2.2222222222222223,0.0,0.0
49,2004-02-19,2004,2,19,3.3333333333333335,0.0,0.0
50,2004-02-20,2004,2,20,3.3333333333333335,0.0,0.0
51,2004-02-21,2004,2,21,6.666666666666667,0.0,0.01
52,2004-02-22,2004,2,22,3.3333333333333335,0.0,0.0
53,2004-02-23,2004,2,23,3.888888888888889,0.0,0.0
54,2004-02-24,2004,2,24,1.6666666666666667,0.0,0.08
55,2004-02-25,2004,2,25,0.5555555555555556,0.0,0.0
56,2004-02-26,2004,2,26,2.2222222222222223,0.0,0.0
57,2004-02-27,2004,2,27,2.7777777777777777,0.0,0.0
58,2004-02-28,2004,2,28,6.666666666666667,0.0,0.0
59,2004-02-29,2004,2,29,10.555555555555555,0.0,0.0
60,2004-03-01,2004,3,1,12.222222222222221,0.0,0.0
61,2004-03-02,2004,3,2,12.777777777777779,0.0,0.02
62,2004-03-03,2004,3,3,11.666666666666666,0.0,0.0
63,2004-03-04,2004,3,4,9.444444444444445,0.0,0.21
64,2004-03-05,2004,3,5,8.333333333333334,0.0,0.0
65,2004-03-06,2004,3,6,12.222222222222221,0.0,0.41
66,2004-03-07,2004,3,7,8.333333333333334,0.0,0.01
67,2004-03-08,2004,3,8,3.3333333333333335,0.0,0.38
68,2004-03-09,2004,3,9,3.3333333333333335,0.0,0.03
69,2004-3-10,2004,3,10,4.444444444444445,0.0,0.0
70,2004-03-11,2004,3,11,7.777777777777778,0.0,0.0
71,2004-03-12,2004,3,12,5.555555555555555,0.0,0.0
72,2004-03-13,2004,3,13,2.7777777777777777,0.0,0.0
73,2004-03-14,2004,3,14,2.2222222222222223,0.0,0.0
74,2004-03-15,2004,3,15,10.555555555555555,0.0,0.0
75,2004-03-16,2004,3,16,2.2222222222222223,3.5,0.4
76,2004-03-17,2004,3,17,-1.6666666666666667,0.5,0.12
77,2004-03-18,2004,3,18,1.1111111111111112,0.8,0.12
78,2004-03-19,2004,3,19,2.7777777777777777,0.0,0.14
79,2004-03-20,2004,3,20,4.444444444444445,0.0,0.06
80,2004-03-21,2004,3,21,4.444444444444445,0.0,0.1
81,2004-03-22,2004,3,22,-1.1111111111111112,0.0,0.0
82,2004-03-23,2004,3,23,1.6666666666666667,0.0,0.0
83,2004-03-24,2004,3,24,9.444444444444445,0.0,0.0
84,2004-03-25,2004,3,25,8.88888888888889,0.0,0.12
85,2004-03-26,2004,3,26,12.777777777777779,0.0,0.0
86,2004-03-27,2004,3,27,16.11111111111111,0.0,0.17
87,2004-03-28,2004,3,28,10.0,0.0,0.0
88,2004-03-29,2004,3,29,6.666666666666667,0.0,0.0
89,2004-03-30,2004,3,30,3.888888888888889,0.0,0.02
90,2004-03-31,2004,3,31,6.111111111111111,0.0,0.68
91,2004-04-01,2004,4,1,8.333333333333334,0.0,0.23
92,2004-04-02,2004,4,2,7.222222222222222,0.0,0.0
93,2004-04-03,2004,4,3,7.777777777777778,0.0,0.05
94,2004-04-04,2004,4,4,5.555555555555555,0.0,0.07
95,2004-04-05,2004,4,5,2.2222222222222223,0.0,0.0
96,2004-04-06,2004,4,6,6.111111111111111,0.0,0.0
97,2004-04-07,2004,4,7,13.333333333333334,0.0,0.0
98,2004-04-08,2004,4,8,10.0,0.0,0.08
99,2004-04-09,2004,4,9,12.222222222222221,0.0,0.0
100,2004-4-10,2004,4,10,11.666666666666666,0.0,0.0
101,2004-04-11,2004,4,11,9.444444444444445,0.0,0.0
102,2004-04-12,2004,4,12,8.88888888888889,0.0,0.55
103,2004-04-13,2004,4,13,9.444444444444445,0.0,1.17
104,2004-04-14,2004,4,14,11.11111111111111,0.0,0.23
105,2004-04-15,2004,4,15,10.555555555555555,0.0,0.07
106,2004-04-16,2004,4,16,11.666666666666666,0.0,0.0
107,2004-04-17,2004,4,17,17.22222222222222,0.0,0.0
108,2004-04-18,2004,4,18,16.666666666666668,0.0,0.0
109,2004-04-19,2004,4,19,19.444444444444443,0.0,0.0
110,2004-04-20,2004,4,20,18.88888888888889,0.0,0.0
111,2004-04-21,2004,4,21,13.333333333333334,0.0,0.03
112,2004-04-22,2004,4,22,19.444444444444443,0.0,0.0
113,2004-04-23,2004,4,23,13.88888888888889,0.0,0.16
114,2004-04-24,2004,4,24,14.444444444444445,0.0,0.01
115,2004-04-25,2004,4,25,10.555555555555555,0.0,0.08
116,2004-04-26,2004,4,26,11.11111111111111,0.0,1.29
117,2004-04-27,2004,4,27,15.555555555555555,0.0,0.02
118,2004-04-28,2004,4,28,10.0,0.0,0.07
119,2004-04-29,2004,4,29,18.333333333333332,0.0,0.0
120,2004-04-30,2004,4,30,18.88888888888889,0.0,0.0
121,2004-05-01,2004,5,1,19.444444444444443,0.0,0.0
122,2004-05-02,2004,5,2,17.77777777777778,0.0,0.01
123,2004-05-03,2004,5,3,12.777777777777779,0.0,0.34
124,2004-05-04,2004,5,4,11.11111111111111,0.0,0.0
125,2004-05-05,2004,5,5,13.88888888888889,0.0,0.16
126,2004-05-06,2004,5,6,15.555555555555555,0.0,0.0
127,2004-05-07,2004,5,7,20.555555555555557,0.0,0.13
128,2004-05-08,2004,5,8,12.777777777777779,0.0,0.0
129,2004-05-09,2004,5,9,15.0,0.0,0.02
130,2004-5-10,2004,5,10,17.22222222222222,0.0,0.23
131,2004-05-11,2004,5,11,23.333333333333332,0.0,0.65
132,2004-05-12,2004,5,12,24.444444444444443,0.0,1.45
133,2004-05-13,2004,5,13,22.77777777777778,0.0,0.0
134,2004-05-14,2004,5,14,17.22222222222222,0.0,0.0
135,2004-05-15,2004,5,15,23.333333333333332,0.0,1.16
136,2004-05-16,2004,5,16,21.666666666666668,0.0,0.09
137,2004-05-17,2004,5,17,17.77777777777778,0.0,0.0
138,2004-05-18,2004,5,18,22.22222222222222,0.0,0.0
139,2004-05-19,2004,5,19,18.88888888888889,0.0,0.11
140,2004-05-20,2004,5,20,18.333333333333332,0.0,0.0
141,2004-05-21,2004,5,21,21.666666666666668,0.0,0.0
142,2004-05-22,2004,5,22,23.333333333333332,0.0,0.0
143,2004-05-23,2004,5,23,23.333333333333332,0.0,0.0
144,2004-05-24,2004,5,24,19.444444444444443,0.0,0.0
145,2004-05-25,2004,5,25,18.88888888888889,0.0,0.0
146,2004-05-26,2004,5,26,15.0,0.0,0.39
147,2004-05-27,2004,5,27,18.88888888888889,0.0,0.41
148,2004-05-28,2004,5,28,21.11111111111111,0.0,0.39
149,2004-05-29,2004,5,29,15.555555555555555,0.0,0.0
150,2004-05-30,2004,5,30,16.666666666666668,0.0,0.0
151,2004-05-31,2004,5,31,16.11111111111111,0.0,0.22
152,2004-06-01,2004,6,1,16.666666666666668,0.0,0.23
153,2004-06-02,2004,6,2,20.555555555555557,0.0,0.01
154,2004-06-03,2004,6,3,20.0,0.0,0.01
155,2004-06-04,2004,6,4,19.444444444444443,0.0,0.0
156,2004-06-05,2004,6,5,17.22222222222222,0.0,0.0
157,2004-06-06,2004,6,6,14.444444444444445,0.0,0.12
158,2004-06-07,2004,6,7,21.11111111111111,0.0,0.0
159,2004-06-08,2004,6,8,25.0,0.0,0.0
160,2004-06-09,2004,6,9,27.22222222222222,0.0,0.0
161,2004-6-10,2004,6,10,22.77777777777778,0.0,0.0
162,2004-06-11,2004,6,11,19.444444444444443,0.0,0.0
163,2004-06-12,2004,6,12,19.444444444444443,0.0,0.0
164,2004-06-13,2004,6,13,20.555555555555557,0.0,0.0
165,2004-06-14,2004,6,14,22.77777777777778,0.0,0.01
166,2004-06-15,2004,6,15,26.666666666666668,0.0,0.0
167,2004-06-16,2004,6,16,27.22222222222222,0.0,0.0
168,2004-06-17,2004,6,17,26.666666666666668,0.0,0.99
169,2004-06-18,2004,6,18,26.666666666666668,0.0,0.0
170,2004-06-19,2004,6,19,22.77777777777778,0.0,0.0
171,2004-06-20,2004,6,20,18.333333333333332,0.0,0.0
172,2004-06-21,2004,6,21,21.11111111111111,0.0,0.0
173,2004-06-22,2004,6,22,21.666666666666668,0.0,0.37
174,2004-06-23,2004,6,23,24.444444444444443,0.0,0.0
175,2004-06-24,2004,6,24,23.333333333333332,0.0,0.0
176,2004-06-25,2004,6,25,22.77777777777778,0.0,0.95
177,2004-06-26,2004,6,26,22.22222222222222,0.0,0.01
178,2004-06-27,2004,6,27,20.555555555555557,0.0,0.0
179,2004-06-28,2004,6,28,21.666666666666668,0.0,0.0
180,2004-06-29,2004,6,29,20.555555555555557,0.0,0.32
181,2004-06-30,2004,6,30,23.333333333333332,0.0,0.0
182,2004-07-01,2004,7,1,23.88888888888889,0.0,0.0
183,2004-07-02,2004,7,2,26.11111111111111,0.0,0.06
184,2004-07-03,2004,7,3,23.88888888888889,0.0,0.0
185,2004-07-04,2004,7,4,24.444444444444443,0.0,0.0
186,2004-07-05,2004,7,5,25.555555555555557,0.0,0.8
187,2004-07-06,2004,7,6,23.88888888888889,0.0,0.0
188,2004-07-07,2004,7,7,24.444444444444443,0.0,0.0
189,2004-07-08,2004,7,8,26.666666666666668,0.0,0.0
190,2004-07-09,2004,7,9,22.77777777777778,0.0,0.0
191,2004-7-10,2004,7,10,23.88888888888889,0.0,0.0
192,2004-07-11,2004,7,11,25.555555555555557,0.0,0.0
193,2004-07-12,2004,7,12,20.555555555555557,0.0,1.26
194,2004-07-13,2004,7,13,18.88888888888889,0.0,0.95
195,2004-07-14,2004,7,14,22.77777777777778,0.0,0.36
196,2004-07-15,2004,7,15,22.77777777777778,0.0,0.0
197,2004-07-16,2004,7,16,22.22222222222222,0.0,0.0
198,2004-07-17,2004,7,17,25.0,0.0,0.0
199,2004-07-18,2004,7,18,22.77777777777778,0.0,0.21
200,2004-07-19,2004,7,19,23.333333333333332,0.0,0.12
201,2004-07-20,2004,7,20,25.0,0.0,0.0
202,2004-07-21,2004,7,21,26.11111111111111,0.0,0.0
203,2004-07-22,2004,7,22,26.11111111111111,0.0,0.0
204,2004-07-23,2004,7,23,23.88888888888889,0.0,2.32
205,2004-07-24,2004,7,24,21.11111111111111,0.0,0.02
206,2004-07-25,2004,7,25,21.666666666666668,0.0,0.0
207,2004-07-26,2004,7,26,22.22222222222222,0.0,0.0
208,2004-07-27,2004,7,27,21.11111111111111,0.0,1.36
209,2004-07-28,2004,7,28,21.666666666666668,0.0,0.18
210,2004-07-29,2004,7,29,23.88888888888889,0.0,0.0
211,2004-07-30,2004,7,30,25.555555555555557,0.0,0.0
212,2004-07-31,2004,7,31,26.666666666666668,0.0,0.0
213,2004-08-01,2004,8,1,25.555555555555557,0.0,0.25
214,2004-08-02,2004,8,2,27.22222222222222,0.0,0.0
215,2004-08-03,2004,8,3,26.11111111111111,0.0,0.0
216,2004-08-04,2004,8,4,26.666666666666668,0.0,0.02
217,2004-08-05,2004,8,5,22.22222222222222,0.0,0.0
218,2004-08-06,2004,8,6,20.0,0.0,0.01
219,2004-08-07,2004,8,7,18.333333333333332,0.0,0.0
220,2004-08-08,2004,8,8,20.0,0.0,0.0
221,2004-08-09,2004,8,9,23.88888888888889,0.0,0.0
222,2004-8-10,2004,8,10,25.555555555555557,0.0,0.0
223,2004-08-11,2004,8,11,24.444444444444443,0.0,0.91
224,2004-08-12,2004,8,12,24.444444444444443,0.0,0.0
225,2004-08-13,2004,8,13,23.88888888888889,0.0,0.16
226,2004-08-14,2004,8,14,22.77777777777778,0.0,0.22
227,2004-08-15,2004,8,15,21.666666666666668,0.0,0.34
228,2004-08-16,2004,8,16,20.0,0.0,0.46
229,2004-08-17,2004,8,17,21.11111111111111,0.0,0.0
230,2004-08-18,2004,8,18,22.77777777777778,0.0,0.0
231,2004-08-19,2004,8,19,25.555555555555557,0.0,0.0
232,2004-08-20,2004,8,20,28.333333333333332,0.0,0.0
233,2004-08-21,2004,8,21,23.333333333333332,0.0,0.56
234,2004-08-22,2004,8,22,20.0,0.0,0.0
235,2004-08-23,2004,8,23,22.77777777777778,0.0,0.0
236,2004-08-24,2004,8,24,22.22222222222222,0.0,0.0
237,2004-08-25,2004,8,25,21.666666666666668,0.0,0.0
238,2004-08-26,2004,8,26,21.666666666666668,0.0,0.0
239,2004-08-27,2004,8,27,25.0,0.0,0.0
240,2004-08-28,2004,8,28,27.22222222222222,0.0,0.0
241,2004-08-29,2004,8,29,27.22222222222222,0.0,0.0
242,2004-08-30,2004,8,30,26.666666666666668,0.0,0.0
243,2004-08-31,2004,8,31,25.0,0.0,0.09
244,2004-09-01,2004,9,1,22.77777777777778,0.0,0.0
245,2004-09-02,2004,9,2,22.77777777777778,0.0,0.0
246,2004-09-03,2004,9,3,22.77777777777778,0.0,0.0
247,2004-09-04,2004,9,4,25.555555555555557,0.0,0.0
248,2004-09-05,2004,9,5,21.11111111111111,0.0,0.0
249,2004-09-06,2004,9,6,20.0,0.0,0.0
250,2004-09-07,2004,9,7,23.333333333333332,0.0,0.07
251,2004-09-08,2004,9,8,21.666666666666668,0.0,3.77
252,2004-09-09,2004,9,9,23.88888888888889,0.0,0.41
253,2004-9-10,2004,9,10,22.22222222222222,0.0,0.0
254,2004-09-11,2004,9,11,19.444444444444443,0.0,0.0
255,2004-09-12,2004,9,12,20.555555555555557,0.0,0.0
256,2004-09-13,2004,9,13,23.88888888888889,0.0,0.0
257,2004-09-14,2004,9,14,20.0,0.0,0.0
258,2004-09-15,2004,9,15,19.444444444444443,0.0,0.19
259,2004-09-16,2004,9,16,22.22222222222222,0.0,0.01
260,2004-09-17,2004,9,17,22.77777777777778,0.0,0.11
261,2004-09-18,2004,9,18,18.88888888888889,0.0,2.19
262,2004-09-19,2004,9,19,15.0,0.0,0.0
263,2004-09-20,2004,9,20,16.11111111111111,0.0,0.0
264,2004-09-21,2004,9,21,20.555555555555557,0.0,0.0
265,2004-09-22,2004,9,22,21.666666666666668,0.0,0.0
266,2004-09-23,2004,9,23,23.333333333333332,0.0,0.0
267,2004-09-24,2004,9,24,21.11111111111111,0.0,0.0
268,2004-09-25,2004,9,25,20.0,0.0,0.0
269,2004-09-26,2004,9,26,22.22222222222222,0.0,0.0
270,2004-09-27,2004,9,27,20.555555555555557,0.0,0.0
271,2004-09-28,2004,9,28,20.0,0.0,3.84
272,2004-09-29,2004,9,29,16.666666666666668,0.0,0.82
273,2004-09-30,2004,9,30,16.666666666666668,0.0,0.1
274,2004-10-1,2004,10,1,17.22222222222222,0.0,0.0
275,2004-10-2,2004,10,2,17.77777777777778,0.0,0.0
276,2004-10-3,2004,10,3,16.11111111111111,0.0,0.0
277,2004-10-4,2004,10,4,16.666666666666668,0.0,0.0
278,2004-10-5,2004,10,5,12.222222222222221,0.0,0.0
279,2004-10-6,2004,10,6,12.777777777777779,0.0,0.0
280,2004-10-7,2004,10,7,17.22222222222222,0.0,0.0
281,2004-10-8,2004,10,8,18.88888888888889,0.0,0.0
282,2004-10-9,2004,10,9,18.88888888888889,0.0,0.0
283,2004-10-10,2004,10,10,14.444444444444445,0.0,0.0
284,2004-10-11,2004,10,11,12.222222222222221,0.0,0.0
285,2004-10-12,2004,10,12,12.777777777777779,0.0,0.0
286,2004-10-13,2004,10,13,14.444444444444445,0.0,0.0
287,2004-10-14,2004,10,14,14.444444444444445,0.0,0.06
288,2004-10-15,2004,10,15,14.444444444444445,0.0,0.24
289,2004-10-16,2004,10,16,12.222222222222221,0.0,0.03
290,2004-10-17,2004,10,17,9.444444444444445,0.0,0.0
291,2004-10-18,2004,10,18,10.555555555555555,0.0,0.02
292,2004-10-19,2004,10,19,10.0,0.0,0.7
293,2004-10-20,2004,10,20,11.11111111111111,0.0,0.0
294,2004-10-21,2004,10,21,10.555555555555555,0.0,0.0
295,2004-10-22,2004,10,22,11.666666666666666,0.0,0.0
296,2004-10-23,2004,10,23,9.444444444444445,0.0,0.0
297,2004-10-24,2004,10,24,10.0,0.0,0.0
298,2004-10-25,2004,10,25,10.555555555555555,0.0,0.0
299,2004-10-26,2004,10,26,13.333333333333334,0.0,0.0
300,2004-10-27,2004,10,27,12.777777777777779,0.0,0.0
301,2004-10-28,2004,10,28,10.555555555555555,0.0,0.0
302,2004-10-29,2004,10,29,11.666666666666666,0.0,0.0
303,2004-10-30,2004,10,30,15.0,0.0,0.1
304,2004-10-31,2004,10,31,18.333333333333332,0.0,0.0
305,2004-11-01,2004,11,1,12.777777777777779,0.0,0.0
306,2004-11-02,2004,11,2,11.666666666666666,0.0,0.0
307,2004-11-03,2004,11,3,11.11111111111111,0.0,0.0
308,2004-11-04,2004,11,4,7.222222222222222,0.0,1.01
309,2004-11-05,2004,11,5,10.0,0.0,0.01
310,2004-11-06,2004,11,6,10.0,0.0,0.0
311,2004-11-07,2004,11,7,15.0,0.0,0.0
312,2004-11-08,2004,11,8,9.444444444444445,0.0,0.0
313,2004-11-09,2004,11,9,2.7777777777777777,0.0,0.0
314,2004-11-10,2004,11,10,2.7777777777777777,0.0,0.0
315,2004-11-11,2004,11,11,10.0,0.0,0.0
316,2004-11-12,2004,11,12,5.555555555555555,0.0,0.94
317,2004-11-13,2004,11,13,3.3333333333333335,0.0,0.14
318,2004-11-14,2004,11,14,3.888888888888889,0.0,0.0
319,2004-11-15,2004,11,15,9.444444444444445,0.0,0.0
320,2004-11-16,2004,11,16,10.555555555555555,0.0,0.0
321,2004-11-17,2004,11,17,10.0,0.0,0.0
322,2004-11-18,2004,11,18,11.11111111111111,0.0,0.0
323,2004-11-19,2004,11,19,15.0,0.0,0.0
324,2004-11-20,2004,11,20,10.0,0.0,0.36
325,2004-11-21,2004,11,21,10.555555555555555,0.0,0.0
326,2004-11-22,2004,11,22,11.666666666666666,0.0,0.01
327,2004-11-23,2004,11,23,10.555555555555555,0.0,0.0
328,2004-11-24,2004,11,24,13.333333333333334,0.0,0.4
329,2004-11-25,2004,11,25,10.0,0.0,0.42
330,2004-11-26,2004,11,26,3.888888888888889,0.0,0.0
331,2004-11-27,2004,11,27,8.333333333333334,0.0,0.0
332,2004-11-28,2004,11,28,11.11111111111111,0.0,0.92
333,2004-11-29,2004,11,29,7.222222222222222,0.0,0.0
334,2004-11-30,2004,11,30,6.666666666666667,0.0,0.0
335,2004-12-01,2004,12,1,10.0,0.0,1.17
336,2004-12-02,2004,12,2,6.111111111111111,0.0,0.0
337,2004-12-03,2004,12,3,5.0,0.0,0.0
338,2004-12-04,2004,12,4,2.7777777777777777,0.0,0.0
339,2004-12-05,2004,12,5,8.333333333333334,0.0,0.0
340,2004-12-06,2004,12,6,3.3333333333333335,0.0,0.28
341,2004-12-07,2004,12,7,5.555555555555555,0.0,0.52
342,2004-12-08,2004,12,8,11.666666666666666,0.0,0.11
343,2004-12-09,2004,12,9,7.777777777777778,0.0,0.32
344,2004-12-10,2004,12,10,7.777777777777778,0.0,0.41
345,2004-12-11,2004,12,11,8.88888888888889,0.0,0.0
346,2004-12-12,2004,12,12,6.666666666666667,0.0,0.0
347,2004-12-13,2004,12,13,6.111111111111111,0.0,0.0
348,2004-12-14,2004,12,14,0.5555555555555556,0.0,0.0
349,2004-12-15,2004,12,15,-2.2222222222222223,0.0,0.0
350,2004-12-16,2004,12,16,2.2222222222222223,0.0,0.0
351,2004-12-17,2004,12,17,3.888888888888889,0.0,0.0
352,2004-12-18,2004,12,18,2.7777777777777777,0.0,0.0
353,2004-12-19,2004,12,19,1.1111111111111112,0.1,0.06
354,2004-12-20,2004,12,20,-8.88888888888889,0.5,0.07
355,2004-12-21,2004,12,21,-3.888888888888889,0.0,0.0
356,2004-12-22,2004,12,22,6.666666666666667,0.0,0.0
357,2004-12-23,2004,12,23,10.0,0.0,0.65
358,2004-12-24,2004,12,24,2.2222222222222223,0.0,0.0
359,2004-12-25,2004,12,25,-1.6666666666666667,0.0,0.0
360,2004-12-26,2004,12,26,-1.6666666666666667,0.3,0.03
361,2004-12-27,2004,12,27,-4.444444444444445,1.8,0.08
362,2004-12-28,2004,12,28,-3.888888888888889,0.3,0.01
363,2004-12-29,2004,12,29,3.888888888888889,0.0,0.0
364,2004-12-30,2004,12,30,6.666666666666667,0.0,0.0
365,2004-12-31,2004,12,31,9.444444444444445,0.0,0.0
366,2005-01-01,2005,1,1,10.0,0.0,0.0
367,2005-01-02,2005,1,2,6.666666666666667,0.0,0.0
368,2005-01-03,2005,1,3,12.222222222222221,0.0,0.45
369,2005-01-04,2005,1,4,9.444444444444445,0.0,0.06
370,2005-01-05,2005,1,5,5.0,0.0,0.28
371,2005-01-06,2005,1,6,3.3333333333333335,0.0,0.62
372,2005-01-07,2005,1,7,3.888888888888889,0.0,0.0
373,2005-01-08,2005,1,8,3.3333333333333335,0.0,0.59
374,2005-01-09,2005,1,9,2.7777777777777777,0.0,0.0
375,2005-1-10,2005,1,10,6.666666666666667,0.0,0.0
376,2005-01-11,2005,1,11,3.3333333333333335,0.0,0.25
377,2005-01-12,2005,1,12,2.7777777777777777,0.0,0.12
378,2005-01-13,2005,1,13,9.444444444444445,0.0,0.0
379,2005-01-14,2005,1,14,10.0,0.0,1.03
380,2005-01-15,2005,1,15,-1.1111111111111112,0.0,0.0
381,2005-01-16,2005,1,16,-1.6666666666666667,0.0,0.0
382,2005-01-17,2005,1,17,-5.0,0.5,0.03
383,2005-01-18,2005,1,18,-10.0,0.0,0.0
384,2005-01-19,2005,1,19,-7.777777777777778,0.8,0.03
385,2005-01-20,2005,1,20,-3.888888888888889,0.0,0.0
386,2005-01-21,2005,1,21,-9.444444444444445,0.0,0.0
387,2005-01-22,2005,1,22,-8.88888888888889,8.5,0.93
388,2005-01-23,2005,1,23,-7.777777777777778,5.3,0.25
389,2005-01-24,2005,1,24,-8.88888888888889,0.0,0.0
390,2005-01-25,2005,1,25,-2.7777777777777777,0.0,0.0
391,2005-01-26,2005,1,26,-2.7777777777777777,0.0,0.01
392,2005-01-27,2005,1,27,-10.0,0.0,0.0
393,2005-01-28,2005,1,28,-10.0,0.0,0.0
394,2005-01-29,2005,1,29,-3.888888888888889,0.0,0.0
395,2005-01-30,2005,1,30,-0.5555555555555556,0.2,0.02
396,2005-01-31,2005,1,31,-1.1111111111111112,0.0,0.0
397,2005-02-01,2005,2,1,0.5555555555555556,0.0,0.0
398,2005-02-02,2005,2,2,1.1111111111111112,0.0,0.0
399,2005-02-03,2005,2,3,1.6666666666666667,0.0,0.02
400,2005-02-04,2005,2,4,4.444444444444445,0.0,0.27
401,2005-02-05,2005,2,5,7.777777777777778,0.0,0.0
402,2005-02-06,2005,2,6,7.777777777777778,0.0,0.0
403,2005-02-07,2005,2,7,7.222222222222222,0.0,0.0
404,2005-02-08,2005,2,8,8.333333333333334,0.0,0.0
405,2005-02-09,2005,2,9,10.0,0.0,0.03
406,2005-2-10,2005,2,10,3.3333333333333335,0.0,0.1
407,2005-02-11,2005,2,11,1.6666666666666667,0.0,0.0
408,2005-02-12,2005,2,12,2.2222222222222223,0.0,0.0
409,2005-02-13,2005,2,13,2.7777777777777777,0.0,0.0
410,2005-02-14,2005,2,14,4.444444444444445,0.0,0.95
411,2005-02-15,2005,2,15,10.555555555555555,0.0,0.13
412,2005-02-16,2005,2,16,7.222222222222222,0.0,0.22
413,2005-02-17,2005,2,17,1.6666666666666667,0.0,0.0
414,2005-02-18,2005,2,18,-3.888888888888889,0.0,0.0
415,2005-02-19,2005,2,19,-4.444444444444445,0.0,0.0
416,2005-02-20,2005,2,20,0.0,1.5,0.13
417,2005-02-21,2005,2,21,0.0,3.5,0.41
418,2005-02-22,2005,2,22,3.3333333333333335,0.0,0.0
419,2005-02-23,2005,2,23,1.6666666666666667,0.0,0.01
420,2005-02-24,2005,2,24,-2.7777777777777777,4.0,0.24
421,2005-02-25,2005,2,25,-1.6666666666666667,2.0,0.13
422,2005-02-26,2005,2,26,0.5555555555555556,0.0,0.0
423,2005-02-27,2005,2,27,-1.1111111111111112,0.0,0.0
424,2005-02-28,2005,2,28,0.5555555555555556,4.8,0.4
425,2005-03-01,2005,3,1,2.2222222222222223,2.9,0.29
426,2005-03-02,2005,3,2,1.1111111111111112,0.0,0.0
427,2005-03-03,2005,3,3,-2.2222222222222223,0.0,0.0
428,2005-03-04,2005,3,4,-1.1111111111111112,0.0,0.0
429,2005-03-05,2005,3,5,1.6666666666666667,0.0,0.0
430,2005-03-06,2005,3,6,4.444444444444445,0.0,0.0
431,2005-03-07,2005,3,7,11.666666666666666,0.0,0.0
432,2005-03-08,2005,3,8,3.3333333333333335,1.5,0.32
433,2005-03-09,2005,3,9,-4.444444444444445,0.0,0.0
434,2005-3-10,2005,3,10,-2.2222222222222223,0.0,0.0
435,2005-03-11,2005,3,11,1.1111111111111112,0.5,0.03
