Source: MJ Menne CN Williams Jr. RS Vose NOAA National Climatic Data Center Asheville NC
Day  ,JD  ,JD_prcp  ,JD_snow  ,Month  ,State_id  ,Year  ,CPRC (in),CPRS (in),CSNW (in),PRCP (in),PRCP_flag  ,SNOW (in),SNOW_flag  ,SNWD (in),SNWD_flag  ,Season_prcp  ,Season_snow  ,TAVE (F),TMAX (F),TMAX_flag  ,TMIN (F),TMIN_flag   
11,42,134,195,2,'305801',2004,4.72,19.22,37.8,0,'  0',0,'  0',0,'  0','2003-04','2003-04',36,41,'  0',30,'  0' 
12,43,135,196,2,'305801',2004,4.72,19.22,37.8,0,'  0',0,'  0',0,'  0','2003-04','2003-04',33,39,'  0',27,'  0' 
13,44,136,197,2,'305801',2004,4.72,19.22,37.8,0,'  0',0,'  0',0,'  0','2003-04','2003-04',38,42,'  0',34,'  0' 
14,45,137,198,2,'305801',2004,4.72,19.22,37.8,0,'  0',0,'  0',0,'  0','2003-04','2003-04',37,41,'  0',33,'  0' 
15,46,138,199,2,'305801',2004,4.72,19.22,37.8,0,'  0',0,'  0',0,'  0','2003-04','2003-04',26,34,'  0',18,'  0' 
16,47,139,200,2,'305801',2004,4.72,19.22,37.8,0,'  0',0,'  0',0,'  0','2003-04','2003-04',24,32,'  0',15,'  0' 
17,48,140,201,2,'305801',2004,4.72,19.22,37.8,0,'T 0',0,'T 0',0,'  0','2003-04','2003-04',28,33,'  0',22,'  0' 
18,49,141,202,2,'305801',2004,4.72,19.22,37.8,0,'  0',0,'  0',0,'  0','2003-04','2003-04',36,42,'  0',29,'  0' 
19,50,142,203,2,'305801',2004,4.72,19.22,37.8,0,'  0',0,'  0',0,'  0','2003-04','2003-04',38,45,'  0',30,'  0' 
20,51,143,204,2,'305801',2004,4.72,19.22,37.8,0,'T 0',0,'  0',0,'  0','2003-04','2003-04',38,42,'  0',34,'  0' 
21,52,144,205,2,'305801',2004,4.73,19.23,37.8,0.01,'  0',0,'  0',0,'  0','2003-04','2003-04',44,52,'  0',35,'  0' 
22,53,145,206,2,'305801',2004,4.73,19.23,37.8,0,'  0',0,'  0',0,'  0','2003-04','2003-04',38,42,'  0',34,'  0' 
23,54,146,207,2,'305801',2004,4.73,19.23,37.8,0,'  0',0,'  0',0,'  0','2003-04','2003-04',39,47,'  0',30,'  0' 
24,55,147,208,2,'305801',2004,4.81,19.31,37.8,0.08,'  0',0,'T 0',0,'  0','2003-04','2003-04',35,40,'  0',30,'  0' 
25,56,148,209,2,'305801',2004,4.81,19.31,37.8,0,'  0',0,'  0',0,'  0','2003-04','2003-04',33,43,'  0',23,'  0' 
26,57,149,210,2,'305801',2004,4.81,19.31,37.8,0,'  0',0,'  0',0,'  0','2003-04','2003-04',36,43,'  0',28,'  0' 
27,58,150,211,2,'305801',2004,4.81,19.31,37.8,0,'  0',0,'  0',0,'  0','2003-04','2003-04',37,45,'  0',28,'  0' 
28,59,151,212,2,'305801',2004,4.81,19.31,37.8,0,'  0',0,'  0',0,'  0','2003-04','2003-04',44,57,'  0',30,'  0' 
29,60,152,213,2,'305801',2004,4.81,19.31,37.8,0,'  0',0,'  0',0,'  0','2003-04','2003-04',51,59,'  0',42,'  0' 
1,61,153,214,3,'305801',2004,4.81,19.31,37.8,0,'  0',0,'  0',0,'  0','2003-04','2003-04',54,63,'  0',45,'  0' 
2,62,154,215,3,'305801',2004,4.83,19.33,37.8,0.02,'  0',0,'  0',0,'  0','2003-04','2003-04',55,67,'  0',43,'  0' 
3,63,155,216,3,'305801',2004,4.83,19.33,37.8,0,'  0',0,'  0',0,'  0','2003-04','2003-04',53,59,'  0',47,'  0' 
4,64,156,217,3,'305801',2004,5.04,19.54,37.8,0.21,'  0',0,'  0',0,'  0','2003-04','2003-04',49,53,'  0',44,'  0' 
5,65,157,218,3,'305801',2004,5.04,19.54,37.8,0,'  0',0,'  0',0,'  0','2003-04','2003-04',47,50,'  0',44,'  0' 
6,66,158,219,3,'305801',2004,5.45,19.95,37.8,0.41,'  0',0,'  0',0,'  0','2003-04','2003-04',54,63,'  0',45,'  0' 
7,67,159,220,3,'305801',2004,5.46,19.96,37.8,0.01,'  0',0,'  0',0,'  0','2003-04','2003-04',47,53,'  0',40,'  0' 
8,68,160,221,3,'305801',2004,5.84,20.34,37.8,0.38,'  0',0,'T 0',0,'  0','2003-04','2003-04',38,42,'  0',34,'  0' 
9,69,161,222,3,'305801',2004,5.87,20.37,37.8,0.03,'  0',0,'  0',0,'  0','2003-04','2003-04',38,41,'  0',35,'  0' 
10,70,162,223,3,'305801',2004,5.87,20.37,37.8,0,'  0',0,'  0',0,'  0','2003-04','2003-04',40,44,'  0',35,'  0' 
11,71,163,224,3,'305801',2004,5.87,20.37,37.8,0,'  0',0,'  0',0,'  0','2003-04','2003-04',46,56,'  0',35,'  0' 
12,72,164,225,3,'305801',2004,5.87,20.37,37.8,0,'T 0',0,'  0',0,'  0','2003-04','2003-04',42,49,'  0',35,'  0' 
13,73,165,226,3,'305801',2004,5.87,20.37,37.8,0,'  0',0,'  0',0,'  0','2003-04','2003-04',37,43,'  0',30,'  0' 
14,74,166,227,3,'305801',2004,5.87,20.37,37.8,0,'T 0',0,'  0',0,'  0','2003-04','2003-04',36,44,'  0',28,'  0' 
15,75,167,228,3,'305801',2004,5.87,20.37,37.8,0,'  0',0,'  0',0,'  0','2003-04','2003-04',51,58,'  0',44,' I0' 
16,76,168,229,3,'305801',2004,6.27,20.77,41.3,0.4,'  0',3.5,'  0',0,'  0','2003-04','2003-04',36,42,' I0',29,'  0' 
17,77,169,230,3,'305801',2004,6.39,20.89,41.8,0.12,'  0',0.5,'  0',4,'  0','2003-04','2003-04',29,31,'  0',27,'  0' 
18,78,170,231,3,'305801',2004,6.51,21.01,42.6,0.12,'  0',0.8,'  0',4,'  0','2003-04','2003-04',34,40,'  0',28,'  0' 
19,79,171,232,3,'305801',2004,6.65,21.15,42.6,0.14,'  0',0,'T 0',0,'T 0','2003-04','2003-04',37,41,'  0',32,'  0' 
20,80,172,233,3,'305801',2004,6.71,21.21,42.6,0.06,'  0',0,'  0',0,'  0','2003-04','2003-04',40,47,'  0',32,'  0' 
21,81,173,234,3,'305801',2004,6.81,21.31,42.6,0.1,'  0',0,'  0',0,'  0','2003-04','2003-04',40,49,'  0',30,'  0' 
22,82,174,235,3,'305801',2004,6.81,21.31,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',30,36,'  0',24,'  0' 
23,83,175,236,3,'305801',2004,6.81,21.31,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',35,46,'  0',24,'  0' 
24,84,176,237,3,'305801',2004,6.81,21.31,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',49,60,'  0',37,'  0' 
25,85,177,238,3,'305801',2004,6.93,21.43,42.6,0.12,'  0',0,'  0',0,'  0','2003-04','2003-04',48,52,'  0',44,'  0' 
26,86,178,239,3,'305801',2004,6.93,21.43,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',55,65,'  0',45,'  0' 
27,87,179,240,3,'305801',2004,7.1,21.6,42.6,0.17,'  0',0,'  0',0,'  0','2003-04','2003-04',61,70,'  0',51,'  0' 
28,88,180,241,3,'305801',2004,7.1,21.6,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',50,57,'  0',42,'  0' 
29,89,181,242,3,'305801',2004,7.1,21.6,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',44,51,'  0',36,'  0' 
30,90,182,243,3,'305801',2004,7.12,21.62,42.6,0.02,'  0',0,'  0',0,'  0','2003-04','2003-04',39,43,'  0',34,'  0' 
31,91,183,244,3,'305801',2004,7.8,22.3,42.6,0.68,'  0',0,'  0',0,'  0','2003-04','2003-04',43,46,'  0',39,'  0' 
1,92,184,245,4,'305801',2004,8.03,22.53,42.6,0.23,'  0',0,'  0',0,'  0','2003-04','2003-04',47,51,'  0',43,'  0' 
2,93,185,246,4,'305801',2004,8.03,22.53,42.6,0,'T 0',0,'  0',0,'  0','2003-04','2003-04',45,48,'  0',42,'  0' 
3,94,186,247,4,'305801',2004,8.08,22.58,42.6,0.05,'  0',0,'  0',0,'  0','2003-04','2003-04',46,51,'  0',40,'  0' 
4,95,187,248,4,'305801',2004,8.15,22.65,42.6,0.07,'  0',0,'  0',0,'  0','2003-04','2003-04',42,52,'  0',32,'  0' 
5,96,188,249,4,'305801',2004,8.15,22.65,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',36,43,'  0',29,'  0' 
6,97,189,250,4,'305801',2004,8.15,22.65,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',43,54,'  0',31,'  0' 
7,98,190,251,4,'305801',2004,8.15,22.65,42.6,0,'T 0',0,'  0',0,'  0','2003-04','2003-04',56,67,'  0',45,'  0' 
8,99,191,252,4,'305801',2004,8.23,22.73,42.6,0.08,'  0',0,'  0',0,'  0','2003-04','2003-04',50,58,'  0',41,'  0' 
9,100,192,253,4,'305801',2004,8.23,22.73,42.6,0,'T 0',0,'  0',0,'  0','2003-04','2003-04',54,62,'  0',45,'  0' 
10,101,193,254,4,'305801',2004,8.23,22.73,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',53,62,'  0',44,'  0' 
11,102,194,255,4,'305801',2004,8.23,22.73,42.6,0,'T 0',0,'  0',0,'  0','2003-04','2003-04',49,54,'  0',44,'  0' 
12,103,195,256,4,'305801',2004,8.78,23.28,42.6,0.55,'  0',0,'  0',0,'  0','2003-04','2003-04',48,54,'  0',41,'  0' 
13,104,196,257,4,'305801',2004,9.95,24.45,42.6,1.17,'  0',0,'  0',0,'  0','2003-04','2003-04',49,56,'  0',41,'  0' 
14,105,197,258,4,'305801',2004,10.18,24.68,42.6,0.23,'  0',0,'  0',0,'  0','2003-04','2003-04',52,57,'  0',46,'  0' 
15,106,198,259,4,'305801',2004,10.25,24.75,42.6,0.07,'  0',0,'  0',0,'  0','2003-04','2003-04',51,60,'  0',42,'  0' 
16,107,199,260,4,'305801',2004,10.25,24.75,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',53,64,'  0',42,'  0' 
17,108,200,261,4,'305801',2004,10.25,24.75,42.6,0,'T 0',0,'  0',0,'  0','2003-04','2003-04',63,78,'  0',48,'  0' 
18,109,201,262,4,'305801',2004,10.25,24.75,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',62,74,'  0',50,'  0' 
19,110,202,263,4,'305801',2004,10.25,24.75,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',67,85,'  0',48,'  0' 
20,111,203,264,4,'305801',2004,10.25,24.75,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',66,76,'  0',55,'  0' 
21,112,204,265,4,'305801',2004,10.28,24.78,42.6,0.03,'  0',0,'  0',0,'  0','2003-04','2003-04',56,63,'  0',49,'  0' 
22,113,205,266,4,'305801',2004,10.28,24.78,42.6,0,'T 0',0,'  0',0,'  0','2003-04','2003-04',67,82,'  0',52,'  0' 
23,114,206,267,4,'305801',2004,10.44,24.94,42.6,0.16,'  0',0,'  0',0,'  0','2003-04','2003-04',57,66,'  0',47,'  0' 
24,115,207,268,4,'305801',2004,10.45,24.95,42.6,0.01,'  0',0,'  0',0,'  0','2003-04','2003-04',58,69,'  0',47,'  0' 
25,116,208,269,4,'305801',2004,10.53,25.03,42.6,0.08,'  0',0,'  0',0,'  0','2003-04','2003-04',51,57,'  0',44,'  0' 
26,117,209,270,4,'305801',2004,11.82,26.32,42.6,1.29,'  0',0,'  0',0,'  0','2003-04','2003-04',52,58,'  0',46,'  0' 
27,118,210,271,4,'305801',2004,11.84,26.34,42.6,0.02,'  0',0,'  0',0,'  0','2003-04','2003-04',60,68,'  0',51,'  0' 
28,119,211,272,4,'305801',2004,11.91,26.41,42.6,0.07,'  0',0,'  0',0,'  0','2003-04','2003-04',50,59,'  0',41,'  0' 
29,120,212,273,4,'305801',2004,11.91,26.41,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',65,78,'  0',51,'  0' 
30,121,213,274,4,'305801',2004,11.91,26.41,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',66,75,'  0',56,'  0' 
1,122,214,275,5,'305801',2004,11.91,26.41,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',67,77,'  0',57,'  0' 
2,123,215,276,5,'305801',2004,11.92,26.42,42.6,0.01,'  0',0,'  0',0,'  0','2003-04','2003-04',64,70,'  0',58,'  0' 
3,124,216,277,5,'305801',2004,12.26,26.76,42.6,0.34,'  0',0,'  0',0,'  0','2003-04','2003-04',55,65,'  0',45,'  0' 
4,125,217,278,5,'305801',2004,12.26,26.76,42.6,0,'T 0',0,'  0',0,'  0','2003-04','2003-04',52,61,'  0',42,'  0' 
5,126,218,279,5,'305801',2004,12.42,26.92,42.6,0.16,'  0',0,'  0',0,'  0','2003-04','2003-04',57,65,'  0',49,'  0' 
6,127,219,280,5,'305801',2004,12.42,26.92,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',60,71,'  0',48,'  0' 
7,128,220,281,5,'305801',2004,12.55,27.05,42.6,0.13,'  0',0,'  0',0,'  0','2003-04','2003-04',69,82,'  0',55,'  0' 
8,129,221,282,5,'305801',2004,12.55,27.05,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',55,61,'  0',48,'  0' 
9,130,222,283,5,'305801',2004,12.57,27.07,42.6,0.02,'  0',0,'  0',0,'  0','2003-04','2003-04',59,70,'  0',48,'  0' 
10,131,223,284,5,'305801',2004,12.8,27.3,42.6,0.23,'  0',0,'  0',0,'  0','2003-04','2003-04',63,71,'  0',54,'  0' 
11,132,224,285,5,'305801',2004,13.45,27.95,42.6,0.65,'  0',0,'  0',0,'  0','2003-04','2003-04',74,86,'  0',61,'  0' 
12,133,225,286,5,'305801',2004,14.9,29.4,42.6,1.45,'  0',0,'  0',0,'  0','2003-04','2003-04',76,86,'  0',65,'  0' 
13,134,226,287,5,'305801',2004,14.9,29.4,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',73,86,'  0',60,'  0' 
14,135,227,288,5,'305801',2004,14.9,29.4,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',63,70,'  0',55,'  0' 
15,136,228,289,5,'305801',2004,16.06,30.56,42.6,1.16,'  0',0,'  0',0,'  0','2003-04','2003-04',74,87,'  0',60,'  0' 
16,137,229,290,5,'305801',2004,16.15,30.65,42.6,0.09,'  0',0,'  0',0,'  0','2003-04','2003-04',71,78,'  0',63,'  0' 
17,138,230,291,5,'305801',2004,16.15,30.65,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',64,71,'  0',57,'  0' 
18,139,231,292,5,'305801',2004,16.15,30.65,42.6,0,'T 0',0,'  0',0,'  0','2003-04','2003-04',72,82,'  0',61,'  0' 
19,140,232,293,5,'305801',2004,16.26,30.76,42.6,0.11,'  0',0,'  0',0,'  0','2003-04','2003-04',66,73,'  0',59,'  0' 
20,141,233,294,5,'305801',2004,16.26,30.76,42.6,0,'T 0',0,'  0',0,'  0','2003-04','2003-04',65,72,'  0',58,'  0' 
21,142,234,295,5,'305801',2004,16.26,30.76,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',71,80,'  0',62,'  0' 
22,143,235,296,5,'305801',2004,16.26,30.76,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',74,84,'  0',63,'  0' 
23,144,236,297,5,'305801',2004,16.26,30.76,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',74,87,'  0',60,'  0' 
24,145,237,298,5,'305801',2004,16.26,30.76,42.6,0,'T 0',0,'  0',0,'  0','2003-04','2003-04',67,75,'  0',59,'  0' 
25,146,238,299,5,'305801',2004,16.26,30.76,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',66,75,'  0',57,'  0' 
26,147,239,300,5,'305801',2004,16.65,31.15,42.6,0.39,'  0',0,'  0',0,'  0','2003-04','2003-04',59,63,'  0',55,'  0' 
27,148,240,301,5,'305801',2004,17.06,31.56,42.6,0.41,'  0',0,'  0',0,'  0','2003-04','2003-04',66,75,'  0',56,'  0' 
28,149,241,302,5,'305801',2004,17.45,31.95,42.6,0.39,'  0',0,'  0',0,'  0','2003-04','2003-04',70,77,'  0',62,'  0' 
29,150,242,303,5,'305801',2004,17.45,31.95,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',60,66,'  0',54,'  0' 
30,151,243,304,5,'305801',2004,17.45,31.95,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',62,73,'  0',51,'  0' 
31,152,244,305,5,'305801',2004,17.67,32.17,42.6,0.22,'  0',0,'  0',0,'  0','2003-04','2003-04',61,64,'  0',57,'  0' 
1,153,245,306,6,'305801',2004,17.9,32.4,42.6,0.23,'  0',0,'  0',0,'  0','2003-04','2003-04',62,68,'  0',56,'  0' 
2,154,246,307,6,'305801',2004,17.91,32.41,42.6,0.01,'  0',0,'  0',0,'  0','2003-04','2003-04',69,80,'  0',58,'  0' 
3,155,247,308,6,'305801',2004,17.92,32.42,42.6,0.01,'  0',0,'  0',0,'  0','2003-04','2003-04',68,76,'  0',60,'  0' 
4,156,248,309,6,'305801',2004,17.92,32.42,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',67,74,'  0',59,'  0' 
5,157,249,310,6,'305801',2004,17.92,32.42,42.6,0,'T 0',0,'  0',0,'  0','2003-04','2003-04',63,65,'  0',60,'  0' 
6,158,250,311,6,'305801',2004,18.04,32.54,42.6,0.12,'  0',0,'  0',0,'  0','2003-04','2003-04',58,60,'  0',56,'  0' 
7,159,251,312,6,'305801',2004,18.04,32.54,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',70,80,'  0',59,'  0' 
8,160,252,313,6,'305801',2004,18.04,32.54,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',77,86,'  0',68,'  0' 
9,161,253,314,6,'305801',2004,18.04,32.54,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',81,91,'  0',70,'  0' 
10,162,254,315,6,'305801',2004,18.04,32.54,42.6,0,'T 0',0,'  0',0,'  0','2003-04','2003-04',73,82,'  0',64,'  0' 
11,163,255,316,6,'305801',2004,18.04,32.54,42.6,0,'T 0',0,'  0',0,'  0','2003-04','2003-04',67,71,'  0',63,'  0' 
12,164,256,317,6,'305801',2004,18.04,32.54,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',67,77,'  0',57,'  0' 
13,165,257,318,6,'305801',2004,18.04,32.54,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',69,76,'  0',61,'  0' 
14,166,258,319,6,'305801',2004,18.05,32.55,42.6,0.01,'  0',0,'  0',0,'  0','2003-04','2003-04',73,81,'  0',65,'  0' 
15,167,259,320,6,'305801',2004,18.05,32.55,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',80,87,'  0',72,'  0' 
16,168,260,321,6,'305801',2004,18.05,32.55,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',81,88,'  0',74,'  0' 
17,169,261,322,6,'305801',2004,19.04,33.54,42.6,0.99,'  0',0,'  0',0,'  0','2003-04','2003-04',80,87,'  0',72,'  0' 
18,170,262,323,6,'305801',2004,19.04,33.54,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',80,88,'  0',71,'  0' 
19,171,263,324,6,'305801',2004,19.04,33.54,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',73,82,'  0',63,'  0' 
20,172,264,325,6,'305801',2004,19.04,33.54,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',65,73,'  0',57,'  0' 
21,173,265,326,6,'305801',2004,19.04,33.54,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',70,80,'  0',60,'  0' 
22,174,266,327,6,'305801',2004,19.41,33.91,42.6,0.37,'  0',0,'  0',0,'  0','2003-04','2003-04',71,75,'  0',67,'  0' 
23,175,267,328,6,'305801',2004,19.41,33.91,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',76,82,'  0',70,'  0' 
24,176,268,329,6,'305801',2004,19.41,33.91,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',74,81,'  0',67,'  0' 
25,177,269,330,6,'305801',2004,20.36,34.86,42.6,0.95,'  0',0,'  0',0,'  0','2003-04','2003-04',73,81,'  0',65,'  0' 
26,178,270,331,6,'305801',2004,20.37,34.87,42.6,0.01,'  0',0,'  0',0,'  0','2003-04','2003-04',72,78,'  0',66,'  0' 
27,179,271,332,6,'305801',2004,20.37,34.87,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',69,77,'  0',60,'  0' 
28,180,272,333,6,'305801',2004,20.37,34.87,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',71,78,'  0',64,'  0' 
29,181,273,334,6,'305801',2004,20.69,35.19,42.6,0.32,'  0',0,'  0',0,'  0','2003-04','2003-04',69,77,'  0',61,'  0' 
30,182,274,335,6,'305801',2004,20.69,35.19,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',74,82,'  0',66,'  0' 
1,183,275,336,7,'305801',2004,20.69,35.19,42.6,0,'  0',0,'  0',0,'  0','2003-04','2003-04',75,82,'  0',68,'  0' 
